student_id,student_review,rating_out_of_10
S001,It's neither bad nor great.,5
S002,The teachers are highly supportive.,9
S003,I really enjoy the teaching style.,10
S004,The teacher does not explain properly.,3
S005,They should include extra classes.,4
S006,I really enjoy the teaching style.,8
S007,The teacher does not explain properly.,3
S008,The teacher does not explain properly.,1
S009,The teacher does not explain properly.,2
S010,The teacher does not explain properly.,4
S011,The course material is very useful.,8
S012,The teacher does not explain properly.,3
S013,The lecture pace is too fast.,4
S014,Average experience so far.,6
S015,Class timing should be improved.,4
S016,The lecture pace is too fast.,1
S017,The environment is decent.,7
S018,The teacher does not explain properly.,4
S019,The environment is decent.,5
S020,The teacher does not explain properly.,1
S021,The course material is very useful.,9
S022,I don't understand most of the topics.,3
S023,The teacher does not explain properly.,1
S024,Everything is going smoothly in the classes.,10
S025,I don't understand most of the topics.,1
S026,Everything is going smoothly in the classes.,10
S027,They should include extra classes.,1
S028,The lecture pace is too fast.,4
S029,I don't understand most of the topics.,3
S030,They should include extra classes.,1
S031,I really enjoy the teaching style.,9
S032,The classes are very helpful and well-structured.,9
S033,The course material is very useful.,9
S034,Everything is going smoothly in the classes.,9
S035,The teachers are highly supportive.,8
S036,They should include extra classes.,2
S037,The teachers are highly supportive.,10
S038,Average experience so far.,6
S039,The course is okay.,7
S040,The lecture pace is too fast.,2
S041,The course material is very useful.,9
S042,They should include extra classes.,3
S043,The teacher does not explain properly.,2
S044,The teachers are highly supportive.,8
S045,The lecture pace is too fast.,3
S046,Class timing should be improved.,4
S047,The environment is decent.,5
S048,The classes are very helpful and well-structured.,8
S049,The course material is very useful.,8
S050,The teacher does not explain properly.,3
S051,The course material is very useful.,9
S052,Nothing special to mention.,5
S053,I really enjoy the teaching style.,10
S054,Nothing special to mention.,6
S055,The teacher does not explain properly.,1
S056,The lecture pace is too fast.,1
S057,The course material is very useful.,10
S058,The course is okay.,6
S059,I don't understand most of the topics.,1
S060,The teacher does not explain properly.,2
S061,The course material is very useful.,8
S062,The environment is decent.,5
S063,I don't understand most of the topics.,2
S064,The course is okay.,5
S065,I really enjoy the teaching style.,10
S066,It's neither bad nor great.,6
S067,The teachers are highly supportive.,10
S068,The teacher does not explain properly.,2
S069,Class timing should be improved.,2
S070,The course material is very useful.,9
S071,The lecture pace is too fast.,1
S072,The classes are very helpful and well-structured.,8
S073,I really enjoy the teaching style.,8
S074,The lecture pace is too fast.,1
S075,The lecture pace is too fast.,1
S076,I really enjoy the teaching style.,8
S077,The lecture pace is too fast.,1
S078,I don't understand most of the topics.,1
S079,I don't understand most of the topics.,3
S080,The teachers are highly supportive.,10
S081,The classes are very helpful and well-structured.,8
S082,The course material is very useful.,10
S083,The lecture pace is too fast.,1
S084,The classes are very helpful and well-structured.,9
S085,The lecture pace is too fast.,1
S086,The teachers are highly supportive.,10
S087,They should include extra classes.,4
S088,The classes are very helpful and well-structured.,9
S089,I really enjoy the teaching style.,10
S090,They should include extra classes.,2
S091,Everything is going smoothly in the classes.,8
S092,The teachers are highly supportive.,10
S093,I don't understand most of the topics.,2
S094,The course material is very useful.,9
S095,Everything is going smoothly in the classes.,8
S096,The classes are very helpful and well-structured.,8
S097,The lecture pace is too fast.,2
S098,The course is okay.,5
S099,They should include extra classes.,4
S100,Everything is going smoothly in the classes.,9
S101,The classes are very helpful and well-structured.,9
S102,They should include extra classes.,3
S103,The classes are very helpful and well-structured.,8
S104,Average experience so far.,5
S105,They should include extra classes.,4
S106,The classes are very helpful and well-structured.,9
S107,The environment is decent.,7
S108,The lecture pace is too fast.,1
S109,Class timing should be improved.,2
S110,It's neither bad nor great.,7
S111,The environment is decent.,5
S112,Everything is going smoothly in the classes.,8
S113,Class timing should be improved.,2
S114,Everything is going smoothly in the classes.,10
S115,Nothing special to mention.,6
S116,The teachers are highly supportive.,9
S117,The environment is decent.,6
S118,Everything is going smoothly in the classes.,10
S119,Class timing should be improved.,2
S120,Average experience so far.,6
S121,The lecture pace is too fast.,4
S122,It's neither bad nor great.,5
S123,The environment is decent.,5
S124,The course is okay.,7
S125,They should include extra classes.,3
S126,Class timing should be improved.,4
S127,The teachers are highly supportive.,8
S128,I don't understand most of the topics.,1
S129,The course material is very useful.,9
S130,I really enjoy the teaching style.,10
S131,The lecture pace is too fast.,1
S132,The lecture pace is too fast.,4
S133,Everything is going smoothly in the classes.,10
S134,I don't understand most of the topics.,1
S135,It's neither bad nor great.,5
S136,I don't understand most of the topics.,4
S137,Everything is going smoothly in the classes.,10
S138,The course is okay.,6
S139,The teachers are highly supportive.,9
S140,I don't understand most of the topics.,4
S141,The classes are very helpful and well-structured.,9
S142,It's neither bad nor great.,5
S143,I really enjoy the teaching style.,10
S144,The environment is decent.,5
S145,The lecture pace is too fast.,2
S146,The environment is decent.,5
S147,I really enjoy the teaching style.,10
S148,The teachers are highly supportive.,10
S149,Everything is going smoothly in the classes.,9
S150,The teachers are highly supportive.,9
S151,The teachers are highly supportive.,8
S152,The lecture pace is too fast.,3
S153,The classes are very helpful and well-structured.,9
S154,They should include extra classes.,3
S155,Everything is going smoothly in the classes.,10
S156,They should include extra classes.,2
S157,The classes are very helpful and well-structured.,10
S158,The lecture pace is too fast.,3
S159,I don't understand most of the topics.,1
S160,Nothing special to mention.,5
S161,The teachers are highly supportive.,8
S162,The environment is decent.,6
S163,They should include extra classes.,3
S164,The lecture pace is too fast.,1
S165,Class timing should be improved.,3
S166,The teachers are highly supportive.,9
S167,Class timing should be improved.,4
S168,I don't understand most of the topics.,4
S169,They should include extra classes.,3
S170,It's neither bad nor great.,6
S171,Everything is going smoothly in the classes.,9
S172,The lecture pace is too fast.,1
S173,They should include extra classes.,2
S174,The environment is decent.,5
S175,They should include extra classes.,4
S176,The teachers are highly supportive.,8
S177,Average experience so far.,7
S178,Class timing should be improved.,1
S179,Everything is going smoothly in the classes.,10
S180,The lecture pace is too fast.,1
S181,I really enjoy the teaching style.,8
S182,Class timing should be improved.,4
S183,I don't understand most of the topics.,3
S184,The teachers are highly supportive.,8
S185,I don't understand most of the topics.,2
S186,The lecture pace is too fast.,3
S187,Everything is going smoothly in the classes.,8
S188,I don't understand most of the topics.,4
S189,The course material is very useful.,9
S190,They should include extra classes.,1
S191,Everything is going smoothly in the classes.,8
S192,The course material is very useful.,9
S193,The teacher does not explain properly.,1
S194,The teachers are highly supportive.,8
S195,The lecture pace is too fast.,4
S196,Everything is going smoothly in the classes.,9
S197,The classes are very helpful and well-structured.,9
S198,The course material is very useful.,9
S199,The classes are very helpful and well-structured.,9
S200,The environment is decent.,5
